strategy_id,strategy_label,seed,q_min,lambda,resilience
degree_driven,Maximum-Degree Reconfiguration,11,0.7,0.1,0.0
degree_driven,Maximum-Degree Reconfiguration,17,0.7,0.1,0.01840328806499852
degree_driven,Maximum-Degree Reconfiguration,23,0.7,0.1,0.08527388304829459
degree_driven,Maximum-Degree Reconfiguration,29,0.7,0.1,0.011064818152833241
degree_driven,Maximum-Degree Reconfiguration,35,0.7,0.1,0.08710771238719052
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.3,0.01,0.5222966128120679
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.3,0.01,0.5491376918877678
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.3,0.01,0.6054285747814749
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.3,0.01,0.5635958453993061
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.3,0.01,0.6209049059332338
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.3,0.03,0.5054536508125917
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.3,0.03,0.5358200691040923
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.3,0.03,0.5802255219754044
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.3,0.03,0.5717817204331272
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.3,0.03,0.6198583038027385
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.3,0.05,0.4907941254746932
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.3,0.05,0.5231471622665876
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.3,0.05,0.5584632091588672
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.3,0.05,0.5774538592066861
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.3,0.05,0.6179330299859461
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.3,0.07,0.47955105512861873
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.3,0.07,0.5124626636597613
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.3,0.07,0.5414846137127247
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.3,0.07,0.5801167715596732
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.3,0.07,0.6154874455347301
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.3,0.1,0.468112454735146
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.3,0.1,0.5001491541864058
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.3,0.1,0.5234248721494278
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.3,0.1,0.5801688308897961
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.3,0.1,0.611504128325189
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.4,0.01,0.4426793816140789
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.4,0.01,0.4739939738690621
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.4,0.01,0.5396666705783874
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.4,0.01,0.49086181963252284
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.4,0.01,0.5577223902554386
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.4,0.03,0.42302925928135754
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.4,0.03,0.4584567472881078
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.4,0.03,0.5102631089713059
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.4,0.03,0.5004120071719824
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.4,0.03,0.5565013544365285
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.4,0.05,0.4059264797204758
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.4,0.05,0.44367168931101886
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.4,0.05,0.48487374401867855
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.4,0.05,0.5070295024078
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.4,0.05,0.5542552016502705
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.4,0.07,0.39280956431672187
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.4,0.07,0.4312064409363879
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.4,0.07,0.46506538266484504
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.4,0.07,0.5101362334862856
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.4,0.07,0.5514020197905186
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.4,0.1,0.3794645305243367
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.4,0.1,0.4168406798841397
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.4,0.1,0.4439956841743327
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.4,0.1,0.5101969693714284
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.4,0.1,0.5467548163793873
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.5,0.01,0.3312152579368948
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.5,0.01,0.3687927686428746
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.5,0.01,0.4476000046940647
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.5,0.01,0.3890341835590279
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.5,0.01,0.46926686830652636
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.5,0.03,0.30763511113762876
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.5,0.03,0.3501480967457291
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.5,0.03,0.41231573076556666
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.5,0.03,0.40049440860637847
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.5,0.03,0.4678016253238341
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.5,0.05,0.28711177566457136
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,17,0.5,0.05,0.3324060271732228
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,23,0.5,0.05,0.3818484928224147
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,29,0.5,0.05,0.4084354028893605
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,35,0.5,0.05,0.465106241980325
utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,11,0.5,0.07,0.27137147718006605
