stage,stage_label,scenario_id,scenario_label,attack_ratio,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std,phy_edges_mean,phy_edges_std,comm_edges_mean,comm_edges_std,mis_edges_mean,mis_edges_std,valid_paths_mean,valid_paths_std,attacked_count_mean,attacked_count_std,jammed_count_mean,jammed_count_std,affected_sensor_count_mean,affected_sensor_count_std,affected_decider_count_mean,affected_decider_count_std,affected_influencer_count_mean,affected_influencer_count_std
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.8,5,1.0,0.0,0.09859135101893793,0.010843108082416937,0.004983506980429321,0.004328135552767315,0.36785828599978904,0.0049358572195006755,100.0,0.0,507.8,18.946239732464065,5.8,2.3151673805580453,26.2,3.3105890714493698,4.4,4.223742416388575,0.0,0.0,80.0,0.0,38.6,1.3564659966250538,24.6,1.3564659966250538,16.8,0.39999999999999997
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.9,5,1.0,0.0,0.03149417031392372,0.012768171111112123,0.0,0.0,0.3438313901046412,0.004256057037037378,100.0,0.0,507.8,18.946239732464065,1.8,0.7483314773547883,7.6,4.079215610874228,0.0,0.0,0.0,0.0,90.0,0.0,43.0,1.2649110640673518,28.4,0.7999999999999999,18.6,1.2
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,100.0,0.0,507.8,18.946239732464065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,30.0,0.0,20.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.0,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,9.930136612989092e-17,100.0,0.0,507.8,18.946239732464065,141.8,6.046486583132389,681.6,22.473095024940378,1006.6,5.083306010855534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.1,5,1.0,0.0,0.8387113997155602,0.015908915362454434,0.9332138718113165,0.06439709588681337,0.9239750905089588,0.017716723144859736,100.0,0.0,507.8,18.946239732464065,110.2,5.30659966456864,515.2,17.428711943227473,933.0,65.09685092229884,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.2,5,1.0,0.0,0.6481603269329825,0.01560358256107076,0.5077091182941849,0.10207616370524242,0.7186231484090557,0.03712711102385191,100.0,0.0,507.8,18.946239732464065,68.4,9.93176721434811,368.4,14.56845908117945,503.0,103.13874150870758,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.3,5,1.0,0.0,0.4117987649652445,0.012543366426406355,0.0,0.0,0.4705995883217481,0.00418112214213546,100.0,0.0,507.8,18.946239732464065,35.4,7.914543574963752,242.4,18.30409790183608,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.4,5,1.0,0.0,0.312665242009863,0.008970444803349216,0.0,0.0,0.4375550806699543,0.0029901482677830646,100.0,0.0,507.8,18.946239732464065,21.2,3.9698866482558417,153.2,9.516301802696255,0.0,0.0,0.0,0.0,40.0,0.0,8.6,0.4898979485566356,30.0,0.0,1.4,0.4898979485566356
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.5,5,1.0,0.0,0.23967776886672348,0.011488336595319035,0.0,0.0,0.4132259229555745,0.003829445531773005,100.0,0.0,507.8,18.946239732464065,14.6,4.2708313008125245,104.0,15.336231610144651,0.0,0.0,0.0,0.0,50.0,0.0,15.8,0.7483314773547882,30.0,0.0,4.2,0.7483314773547882
recon,侦察阶段（固定 $\Phi=1$）,soft_role_decider,网络压制-角色导向(D→拓扑),0.6,5,1.0,0.0,0.17123320022539448,0.005488915506127832,0.0,0.0,0.39041106674179815,0.0018296385020426101,100.0,0.0,507.8,18.946239732464065,9.4,3.2,60.0,11.454256850621082,0.0,0.0,0.0,0.0,60.0,0.0,23.4,2.0591260281974,30.0,0.0,6.6,2.0591260281974
