scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,layer_id,layer_label,final_mean,final_std,static_baseline_mean,absolute_gain_vs_static,relative_gain_vs_static_pct,rank_within_scenario_layer,is_best_strategy
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_phy,Physical-Layer Performance,0.6462122095830468,0.009174301769281728,0.640560138576708,0.005652071006338799,0.8823638353297183,4,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,Q_phy,Physical-Layer Performance,0.640560138576708,0.008253745310379408,0.640560138576708,0.0,0.0,5,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_comm,Communication-Layer Performance,0.9017664214006208,0.031216517073165275,0.663584840627938,0.2381815807726828,35.89316183704498,1,1
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,Q_comm,Communication-Layer Performance,0.8275678597824703,0.020381819781632247,0.663584840627938,0.16398301915453228,24.71168856108259,2,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_comm,Communication-Layer Performance,0.7233561640861064,0.027098453257290003,0.663584840627938,0.05977132345816838,9.00733708768993,3,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_comm,Communication-Layer Performance,0.7106819710756722,0.040530279305673024,0.663584840627938,0.047097130447734226,7.097378897801085,4,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,Q_comm,Communication-Layer Performance,0.663584840627938,0.037790333409591134,0.663584840627938,0.0,0.0,5,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_mis,Mission-Layer Performance,0.853050108932462,0.06547049395106486,0.6805228758169936,0.17252723311546847,25.35215776667948,1,1
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_mis,Mission-Layer Performance,0.8352287581699347,0.10293368579448398,0.6805228758169936,0.15470588235294114,22.733384556281205,2,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,Q_mis,Mission-Layer Performance,0.7789760348583877,0.11567293925907106,0.6805228758169936,0.09845315904139418,14.467281342041211,3,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,Q_mis,Mission-Layer Performance,0.6805228758169936,0.11432446875304784,0.6805228758169936,0.0,0.0,4,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_mis,Mission-Layer Performance,0.6657080610021786,0.08817137467984049,0.6805228758169936,-0.014814814814814947,-2.176975284927667,5,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,Q_phy,Physical-Layer Performance,0.9730134450278133,0.040187585592609223,0.6148958456055509,0.3581175994222624,58.24036736979209,1,1
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_phy,Physical-Layer Performance,0.7451158096612179,0.05759161583551272,0.6148958456055509,0.13021996405566705,21.17756445848583,2,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_phy,Physical-Layer Performance,0.7406851497033513,0.048277043784509616,0.6148958456055509,0.12578930409780043,20.45700991424374,3,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_phy,Physical-Layer Performance,0.621572944220139,0.015243117807536045,0.6148958456055509,0.006677098614588095,1.085890994760661,4,0
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,Q_phy,Physical-Layer Performance,0.6148958456055509,0.00627795356641108,0.6148958456055509,0.0,0.0,5,0
